"cluster","median.target","median.matched","pval","comparison","FDR","significant","cluster.dynamics"
"c5.X.1_5",0.015999075,0.000500025000000001,1.30232991127294e-51,"2_4",5.93283626246562e-51,"yes","positive"
"c7.2L.1_5",-0.00143586666666666,0.00483513333333334,0.821858405734471,"2_4",0.830977303363986,"no","neutral"
"c3.2R.1_5",0.00811116666666667,0.000788516666666662,5.50486272891483e-10,"2_4",9.81301616893513e-10,"yes","positive"
"c3.3R.1_5",0.00693673666666667,0.000159133333333332,2.10567610798273e-58,"2_4",1.07915900534115e-57,"yes","positive"
"c4.2R.1_5",0.008473575,-0.000205550000000002,1.37567747066158e-14,"2_4",2.8679377778199e-14,"yes","positive"
"c8.2L.1_5",0.0189436833333333,0.00319198333333333,1.90292899492745e-83,"2_4",1.56040177584051e-82,"yes","positive"
"c6.X.1_5",0.00622378333333333,0.00206289916666666,2.50962030989612e-06,"2_4",3.50776475133208e-06,"yes","positive"
"c5.2R.1_5",0.00875683333333334,-0.00096991666666667,5.32434193491022e-05,"2_4",7.19663799993359e-05,"yes","positive"
"c6.2R.1_5",-0.00364766666666666,-0.00244333333333335,0.369000354071653,"2_4",0.387923449152251,"no","neutral"
"c7.2R.1_5",-0.000249141666666665,-6.16666666666545e-05,0.347443263654938,"2_4",0.371613229822238,"no","neutral"
"c8.2R.1_5",0.00737086666666667,0.00107166666666669,2.18446717021512e-07,"2_4",3.27670075532268e-07,"yes","positive"
"c9.2L.1_5",0.0127707083333333,0.00184621666666666,1.25469806467665e-15,"2_4",2.85792336954126e-15,"yes","positive"
"c9.2R.1_5",0.00780408333333335,-0.00124355833333332,0.0080368870442023,"2_4",0.00950516448497003,"yes","positive"
"c10.2R.1_5",0.0148146666666667,0.000280666666666651,1.09763465185015e-59,"2_4",5.86995922511167e-59,"yes","positive"
"c4.3R.1_5",-0.00249441666666667,6.21083333333141e-05,0.00227072796459855,"2_4",0.00284999530250634,"yes","negative"
"c10.2L.1_5",0.0137952666666666,0.00469203333333332,1.45824101369156e-06,"2_4",2.06165108832255e-06,"yes","positive"
"c11.2L.1_5",0.0261995,0.00331745000000001,4.00603533446734e-22,"2_4",1.2018106003402e-21,"yes","positive"
"c12.2L.1_5",0.0180868333333333,0.00216286666666665,2.23055750945026e-26,"2_4",7.21996246479953e-26,"yes","positive"
"c11.2R.1_5",0.0174774333333333,-8.608333333337e-06,2.61305143665473e-32,"2_4",1.07135108902844e-31,"yes","positive"
"c4.3L.1_5",0.0279135,0.00121949999999993,4.51518692735179e-172,"2_4",6.94209990080338e-171,"yes","positive"
"c5.3R.1_5",0.00727350000000003,1.32500000000028e-05,3.9988289787092e-54,"2_4",1.96742385752493e-53,"yes","positive"
"c13.2L.1_5",0.00762741666666666,0.002800525,0.00219220759635402,"2_4",0.00277980963249015,"yes","positive"
"c12.2R.1_5",0.0150294833333334,0.00211729999999999,4.18234221906883e-23,"2_4",1.28607023236367e-22,"yes","positive"
"c14.2L.1_5",0.00974223333333334,0.0022874,1.30612885618011e-42,"2_4",5.73763747536263e-42,"yes","positive"
"c6.3R.1_5",0.00461324166666667,0.000191191666666628,6.51145183974256e-05,"2_4",8.70552800313407e-05,"yes","positive"
"c15.2L.1_5",0.0241593333333333,0.00523375000000001,2.81510592037119e-08,"2_4",4.43920548981611e-08,"yes","positive"
"c7.3R.1_5",0.0112079666666667,0.00131616666666667,2.84105286612786e-18,"2_4",6.98899005067454e-18,"yes","positive"
"c8.3R.1_5",0.00615664999999999,0.00132875,7.53937860822844e-09,"2_4",1.23645809174946e-08,"yes","positive"
"c16.2L.1_5",0.0142489166666667,0.00275265,3.08534781446735e-66,"2_4",1.80713229133088e-65,"yes","positive"
"c7.X.1_5",0.0041447,0.000761466666666669,1.22755857983897e-07,"2_4",1.88737131650242e-07,"yes","positive"
"c9.3R.1_5",0.00990038333333334,-0.00108959999999999,4.60364394937396e-28,"2_4",1.66543589933234e-27,"yes","positive"
"c5.3L.1_5",-0.000577849999999998,0.000746983333333333,0.85113135089006,"2_4",0.85113135089006,"no","neutral"
"c13.2R.1_5",0.0238008333333334,0.000882833333333333,1.45786962282396e-61,"2_4",8.15081652760668e-61,"yes","positive"
"c8.X.1_5",0.00900052500000001,0.00120116666666667,2.25796448340008e-21,"2_4",6.61261027281452e-21,"yes","positive"
"c14.2R.1_5",-0.00420953333333332,0.00107601666666665,2.57492901188957e-07,"2_4",3.77043176740973e-07,"yes","negative"
