"cluster","median.target","median.matched","pval","comparison","FDR","significant","cluster.dynamics"
"c20.2L.1_5",-8.59772727273e-05,0.000510218787878786,0.014896975987225,"4_5",0.0237964681354373,"no","neutral"
"c16.2R.1_5",0.00273617348484849,0.000795458333333332,0.000297698484553335,"4_5",0.000634720707493903,"yes","positive"
"c8.3L.1_5",-0.00168034393939394,0.00086683106060606,0.117575154914535,"4_5",0.150643167234248,"no","neutral"
"c10.X.1_5",0.00628087272727273,0.00163734227272727,0.0058358770719889,"4_5",0.0102544697122091,"yes","positive"
"c11.X.1_5",0.000794027348484847,0.00135579166666667,0.475187896856255,"4_5",0.525204047496166,"no","neutral"
"c9.3L.1_5",-0.000410803030303053,0.000179121212121214,0.0258335244021851,"4_5",0.0392286852033181,"yes","negative"
"c17.2R.1_5",0.00377418181818187,0.00180029507575758,0.014255454510568,"4_5",0.0230713276947351,"yes","positive"
"c10.3L.1_5",-0.00169783333333334,-0.000160081818181813,0.981963119413175,"4_5",0.981963119413175,"no","neutral"
"c11.3L.1_5",-0.000493572727272726,0.000588037878787917,0.0956282218900095,"4_5",0.125130545664587,"no","neutral"
"c18.2R.1_5",-0.00370853030303031,0.000737674242424213,0.55265850640155,"4_5",0.601566338826466,"no","neutral"
"c13.3R.1_5",0.00153491333333333,0.00162018825757576,0.615816494346421,"4_5",0.658655902648781,"no","neutral"
"c19.2R.1_5",0.000129824621212124,0.00155477825757575,0.421136690965143,"4_5",0.479627898043635,"no","neutral"
"c21.2L.1_5",-0.000776672348484844,0.000960669318181795,0.00188223298070675,"4_5",0.00361741650979579,"no","neutral"
"c20.2R.1_5",0.00179888598484848,0.00114867715909091,0.0158042607784722,"4_5",0.0249221035352831,"yes","positive"
"c14.3R.1_5",0.00330812121212121,0.000485616666666661,4.44548953066959e-14,"4_5",2.60378672510647e-13,"yes","positive"
"c12.3L.1_5",-0.00118523333333334,0.00100207159090909,0.0349357444042346,"4_5",0.050554077196716,"no","neutral"
"c13.3L.1_5",-0.00130681060606061,-0.00015892159090909,0.457590000155181,"4_5",0.516363027698048,"no","neutral"
"c22.2L.1_5",-0.0010376643939394,0.00114306681818182,5.6594824823911e-06,"4_5",1.58208260303206e-05,"no","neutral"
"c21.2R.1_5",0.0124604204545455,-0.000244719696969653,7.85109708153979e-36,"4_5",1.93136988205879e-34,"yes","positive"
"c14.3L.1_5",0.00413152878787879,0.00237805303030303,0.0819388865217275,"4_5",0.109548728719266,"no","neutral"
"c23.2L.1_5",-0.00451921553030304,0.000628049242424253,8.87753193816948e-22,"4_5",7.79954591710604e-21,"yes","negative"
"c15.3L.1_5",0.00874505795454547,-0.00186592196969698,4.53414609868326e-09,"4_5",1.79903216173562e-08,"yes","positive"
"c16.3L.1_5",0.00395571401515152,0.000566543560606061,0.000798563726058457,"4_5",0.0015842473920192,"yes","positive"
"c24.2L.1_5",0.00762933333333338,0.00020984090909093,0.000299299195403629,"4_5",0.000634720707493903,"yes","positive"
"c17.3L.1_5",0.00359731666666667,0.00228465,0.0107991626138096,"4_5",0.0179499594797106,"yes","positive"
"c25.2L.1_5",8.09934090909084e-05,0.000842493939393937,1.77229596027842e-05,"4_5",4.54150839821345e-05,"no","neutral"
"c18.3L.1_5",0.00712394090909091,0.000149953787878784,2.94145411906765e-28,"4_5",4.01998729605912e-27,"yes","positive"
"c22.2R.1_5",0.00938903409090911,-0.00133861287878788,0.000291942411512322,"4_5",0.000634720707493903,"yes","positive"
"c23.2R.1_5",0.0199353712121212,0.00103903030303032,1.60342886670746e-24,"4_5",1.64351458837515e-23,"yes","positive"
"c15.3R.1_5",0.00423654545454544,0.0018463856060606,0.090696142292179,"4_5",0.11995296238643,"no","neutral"
"c16.3R.1_5",0.00232138257575757,0.000679397727272726,5.90004384666032e-12,"4_5",3.15524083973574e-11,"yes","positive"
"c24.2R.1_5",0.00139917492424243,0.00187021553030303,0.388336970819792,"4_5",0.449976989670658,"no","neutral"
"c12.X.1_5",0.00352813257575757,0.00216539075757574,0.00712550516873566,"4_5",0.0123441850106266,"yes","positive"
"c26.2L.1_5",0.00416686,0.00111528409090909,0.0311379826994786,"4_5",0.0467069740492179,"yes","positive"
"c13.X.1_5",-0.00137052651515151,0.000999077272727272,0.19851769193441,"4_5",0.249159960285025,"no","neutral"
