"cluster","median.target","median.matched","pval","comparison","FDR","significant","cluster.dynamics"
"c19.2L.1_5",0.0166445866666667,-0.00051000000000001,3.43656882158756e-51,"4_5",2.11348982527635e-49,"yes","positive"
"c20.2L.1_5",0.00328970000000001,0.000373830000000006,4.51750006530697e-15,"4_5",3.31264200400628e-14,"yes","positive"
"c16.2R.1_5",0.00278773666666667,0.000378600000000007,0.0227491334020757,"4_5",0.0383307316226755,"yes","positive"
"c8.3L.1_5",-0.00486659999999994,-0.00120472333333333,0.00244736986442274,"4_5",0.00537547309507138,"yes","negative"
"c10.X.1_5",0.01295232,0.00313616666666672,5.61884409268e-06,"4_5",2.09429643454436e-05,"yes","positive"
"c11.X.1_5",1.6000000000009e-06,0.000633676666666668,0.790071049790687,"4_5",0.837747751071159,"no","neutral"
"c9.3L.1_5",-0.00297293333333326,-0.000200849999999995,0.0146347446509687,"4_5",0.0264716704716051,"yes","negative"
"c17.2R.1_5",0.00495103333333336,0.00216047333333335,0.770185255022334,"4_5",0.830989354103045,"no","neutral"
"c10.3L.1_5",-0.00317926666666668,0.000906566666666664,0.168368033561407,"4_5",0.238037564690265,"no","neutral"
"c11.3L.1_5",-0.000586566666666663,0.000379666666666667,0.313217521259603,"4_5",0.389149041564961,"no","neutral"
"c18.2R.1_5",-0.00723836666666667,0.00286434333333334,0.0599447787668608,"4_5",0.0921650973540485,"no","neutral"
"c13.3R.1_5",-0.0138887783333333,0.00165135500000001,0.0413660156862394,"4_5",0.0678402657254326,"no","neutral"
"c19.2R.1_5",-0.000533623333333326,0.000794714999999991,0.856918033276794,"4_5",0.878340984108714,"no","neutral"
"c21.2L.1_5",0.00880061166666667,-0.000119463333333344,6.50880968846167e-32,"4_5",1.60116718336157e-30,"yes","positive"
"c20.2R.1_5",-0.000447313333333315,0.000225028333333325,0.575558218498176,"4_5",0.674225341669292,"no","neutral"
"c14.3R.1_5",0.00149670000000002,-0.000165403333333335,7.66303694643523e-05,"4_5",0.000248040406424088,"yes","positive"
"c12.3L.1_5",-0.00315008266666666,-0.000268573333333327,0.00214433166771283,"4_5",0.00497646783261657,"yes","negative"
"c13.3L.1_5",-0.00350143933333333,-0.000389680000000017,0.196647863871095,"4_5",0.262909644088529,"no","neutral"
"c22.2L.1_5",9.91233333333258e-05,0.000276733333333334,0.00776098759506309,"4_5",0.015152404352266,"no","neutral"
"c21.2R.1_5",0.01777599,0.000410450000000007,9.58437092620074e-36,"4_5",2.94719405980673e-34,"yes","positive"
"c14.3L.1_5",0.00461216666666664,0.000845466666666683,0.0912733290210817,"4_5",0.135260475537266,"no","neutral"
"c23.2L.1_5",-5.67533333333398e-05,0.000580666666666688,0.145126578696705,"4_5",0.208476719108036,"no","neutral"
"c15.3L.1_5",0.00929563166666665,-0.00260761166666666,1.2853352200395e-06,"4_5",5.45159420913305e-06,"yes","positive"
"c16.3L.1_5",0.00321695166666668,-0.000901841666666669,0.38314350530318,"4_5",0.471266511522911,"no","neutral"
"c24.2L.1_5",0.00316143,-0.00237506666666665,0.0544183398841669,"4_5",0.0869279974773056,"no","neutral"
"c17.3L.1_5",-0.000629653333333341,-0.00128408,0.288118663216242,"4_5",0.36915203724581,"no","neutral"
"c25.2L.1_5",0.000330349999999966,0.000595013333333325,0.00822684301383702,"4_5",0.015810963917218,"no","neutral"
"c18.3L.1_5",0.00417750000000006,-0.000106166666666685,0.000103893454333176,"4_5",0.000327663971358478,"yes","positive"
"c22.2R.1_5",0.00903261666666666,-0.00102076333333333,0.0164645061391739,"4_5",0.02934977181331,"yes","positive"
"c23.2R.1_5",0.0158525,0.000833633333333361,2.76269285371052e-12,"4_5",1.54459645911997e-11,"yes","positive"
"c15.3R.1_5",0.0196758666666667,0.000466500000000036,1.57035063459462e-08,"4_5",7.42896646365916e-08,"yes","positive"
"c16.3R.1_5",0.000553416666666667,0.000534662500000001,0.000275888120229919,"4_5",0.000737700843223479,"yes","positive"
